Term,Year,Students,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course Title,Primary Instructor,GPA
Spring,2013,27,CS,173,0,3,5,6,4,3,3,1,1,0,1,0,0,0,Discrete Structures,"Fleck, Margaret M",3.037037037037037
Fall,2021,22,MCB,251,7,9,2,3,0,1,0,0,0,0,0,0,0,0,Exp Techniqs in Molecular Biol,"Kirchner, Nicholas C",3.8181818181818183
Fall,2017,21,MCB,354,1,2,4,6,2,0,2,0,1,2,0,1,0,0,Biochem & Phys Basis of Life,"Stenger, Alejandra L",2.9676190476190474
Spring,2012,23,ECON,202,1,3,1,3,3,1,2,5,1,0,1,0,1,1,Economic Statistics I,"Kim, Dongwoo",2.666363636363637
Spring,2013,90,ACE,428,8,11,14,16,12,9,8,5,0,2,0,3,2,0,Commodity Futures and Options,"Peterson, Paul E",3.0444444444444443
Spring,2013,23,ANTH,230,0,4,3,4,5,3,2,1,0,1,0,0,0,0,Sociocultural Anthropology,"Fuchs, Ofira",3.101304347826087
Spring,2018,32,NRES,474,0,9,7,3,3,4,1,3,0,0,0,1,1,0,Soil and Water Conservation,"Wander, Michelle M",3.1362499999999995
Spring,2013,43,ACCY,201,2,6,8,5,6,5,0,4,2,0,3,0,2,0,Accounting and Accountancy I,"Ettleson, Daniel A",2.8767441860465115
Fall,2010,39,ECON,102,0,17,0,0,9,0,0,10,0,0,2,0,1,0,Microeconomic Principles,"Wang, Yiqun",3.0
Spring,2014,38,ECON,103,5,6,3,6,3,3,2,4,2,2,0,1,1,0,Macroeconomic Principles,"Santos, Raul Antonio C",2.929736842105263
Spring,2010,29,RLST,110,1,17,4,1,6,0,0,0,0,0,0,0,0,0,World Religions,"You, Yu-Shan",3.72448275862069
Spring,2019,286,PHYS,211,22,27,28,35,57,36,26,21,10,7,7,0,9,1,University Physics: Mechanics,"Draper, Patrick I",2.870245614035088
Fall,2011,37,ACCY,301,2,4,6,9,10,2,4,0,0,0,0,0,0,0,Atg Measurement & Disclosure,"Chen, Po-Chang",3.260810810810811
Spring,2020,790,ECON,102,442,243,49,9,14,6,7,14,3,1,2,0,0,0,Microeconomic Principles,"Vazquez, Jose J",3.874012658227848
Fall,2014,210,PSYC,224,0,38,23,26,27,22,22,18,9,6,3,4,9,3,Cognitive Psych,"Brown-Schmidt, Sarah",2.795555555555555
Fall,2010,57,NRES,454,1,8,11,3,10,6,4,6,3,0,2,2,1,0,GIS in Natural Resource Mgmt,"Fraterrigo, Jennifer M",2.8429824561403505
Spring,2010,26,LAW,651,0,6,6,4,9,0,0,0,0,0,0,0,0,1,Tax Exempt Organizations,"Colombo, John D",3.4536000000000002
Fall,2021,23,LAS,291,6,7,4,0,2,0,0,2,0,0,0,0,2,0,Global Perspectives-Pre-Depart,"Broscritto, Elena",3.3339130434782613
Fall,2015,38,GS,101,0,20,3,5,2,1,1,2,1,0,0,0,3,0,Exploring General Studies,"Kutz, Elaina D",3.2718421052631577
Fall,2020,43,ACCY,500,16,18,2,2,3,2,0,0,0,0,0,0,0,0,"Atg Measuremnt, Rpting & Cntrl","Zhang, Li",3.8218604651162793
Spring,2010,25,MUS,527,0,20,4,1,0,0,0,0,0,0,0,0,0,0,Classical Performance Practice,"Moersch, Charlotte M",3.9204000000000003
Spring,2018,59,ECON,203,3,8,4,10,6,6,5,5,1,4,3,1,2,1,Economic Statistics II,"Arango Isaza, Mauricio",2.729482758620689
Spring,2022,28,CHEM,232,3,1,2,2,4,2,3,2,1,0,3,0,5,0,Elementary Organic Chemistry I,"Axelson, Jordan C",2.2500000000000004
Fall,2016,55,CHEM,103,27,14,4,3,2,0,1,1,1,0,0,0,1,1,General Chemistry Lab I,"Brown, Tiara L",3.7161111111111116
Fall,2015,107,PSYC,250,9,15,14,10,13,10,6,8,10,2,3,2,3,2,Psych of Personality,"Derringer, Jaime L",2.8577142857142857
Spring,2011,29,KIN,102,20,6,1,0,0,1,0,1,0,0,0,0,0,0,Individual and Dual Activities,"Weikert, Madeline L",3.8737931034482758
Spring,2018,27,IB,435,0,19,0,0,8,0,0,0,0,0,0,0,0,0,Critical Eval Herbal Remedies,"Berenbaum, May R",3.7037037037037037
