Term,Year,Students,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course Title,Primary Instructor,GPA
Summer,2011,21,FIN,419,0,9,2,2,2,0,6,0,0,0,0,0,0,0,Real Client Managed Portfolios,"Waspi, Kevin G",3.3323809523809524
Spring,2020,36,ECON,503,11,7,7,6,5,0,0,0,0,0,0,0,0,0,Econometrics,"Agiakloglou, Christos",3.6852777777777783
Spring,2010,28,ENGL,104,0,6,2,7,1,4,1,3,2,0,1,0,1,0,Intro to Film,"McQuiston, Erin M",2.8928571428571432
Fall,2012,41,PSYC,100,0,12,0,5,8,5,3,4,1,1,1,1,0,0,Intro Psych,"Hudson, Nathan W",2.9673170731707317
Spring,2014,49,ECON,203,6,6,7,5,8,6,3,3,1,1,0,1,2,0,Economic Statistics II,"Sarhangian, Saeed",3.0004081632653063
Spring,2021,292,MUS,130,150,65,17,12,11,6,7,4,3,4,5,3,5,0,Music Then and Now,"Siletti, Michael J",3.606232876712329
Fall,2012,81,NRES,100,2,33,12,10,20,2,0,1,0,0,1,0,0,0,Fundamentals of Env Sci,"Ellsworth, Timothy R",3.526913580246913
Spring,2013,29,CS,173,2,6,4,3,4,0,3,2,1,0,2,1,1,0,Discrete Structures,"Fleck, Margaret M",2.896551724137931
Spring,2020,68,BADM,508,18,24,17,4,3,0,0,0,0,0,0,0,1,1,Leadership and Teams,"Loyd, Denise L",3.771791044776119
Fall,2020,69,ACE,261,5,14,9,12,11,5,5,4,1,0,1,0,2,0,Applied Statistical Methods,"Gundersen, Lisa C",3.154492753623188
Spring,2016,29,ECON,302,3,2,5,3,3,5,1,1,0,1,1,2,2,0,Inter Microeconomic Theory,"Shakiba, Mehdi",2.713448275862069
Summer,2011,194,CHBE,221,8,20,4,10,36,8,6,72,12,2,10,2,2,2,Principles of CHE,"Pack, Daniel W",2.5070833333333336
Spring,2015,21,LLS,320,2,2,5,3,5,2,0,1,0,0,0,0,1,0,Gender & Latina/o Migration,"Rosas, Gilberto",3.1752380952380954
Fall,2010,42,LAW,798,0,11,26,5,0,0,0,0,0,0,0,0,0,0,Contracts (Grad),"Benson, Sara R",3.7159523809523813
Spring,2020,30,SOC,100,0,14,4,3,3,4,1,1,0,0,0,0,0,0,Introduction to Sociology,"Elmeligy, Nehal M",3.489333333333333
Fall,2012,66,SPED,405,4,43,1,11,5,2,0,0,0,0,0,0,0,0,Gen Educator's Role in SPED,"Monda-Amaya, Lisa E",3.767272727272727
Fall,2014,23,BADM,199,5,7,8,2,0,0,0,0,0,0,0,0,1,0,Bus as a Force in Am Society,"White, B J",3.6530434782608694
Fall,2012,27,ENGL,200,0,8,4,4,3,0,2,1,1,0,0,0,3,1,Intro to the Study of Lit,"Webb, Gregory M",2.9742307692307692
Spring,2013,59,CHEM,105,0,48,2,5,4,0,0,0,0,0,0,0,0,0,General Chemistry Lab II,"Bhagi, Ambika",3.8642372881355933
Spring,2015,25,LER,110,0,4,4,5,5,3,0,1,0,0,1,0,2,0,Labor and Social Movements,"Ashby, Steven",2.9336
Spring,2016,80,SHS,120,0,26,0,0,39,0,0,10,0,0,5,0,0,0,"Child, Comm, & Lang Ability","Hadley, Pamela A",3.075
Fall,2018,25,DANC,125,0,2,1,5,2,6,3,4,1,0,0,0,0,1,Black Dances of Resistance,"Nance, Curtis K",2.7916666666666674
Spring,2017,104,ECE,120,5,15,13,12,16,7,11,9,5,2,1,2,4,2,Introduction to Computing,"Brown, Donna J",2.8562745098039217
Spring,2011,36,MBA,505,3,14,15,4,0,0,0,0,0,0,0,0,0,0,Sustainable Mktg Enterprises,"Viswanathan, Madhubalan",3.7880555555555557
Summer,2011,28,CI,475,9,17,0,0,1,0,0,0,0,0,0,0,1,0,Teach Elem Rdg & Lang Arts I,"McMurry, Sunny O",3.8214285714285716
Fall,2016,45,THEA,101,29,8,1,4,1,1,0,0,1,0,0,0,0,0,Introduction to Theatre Arts,"Morrissette, Jason W",3.8295555555555545
Spring,2019,22,MCB,253,9,7,4,1,1,0,0,0,0,0,0,0,0,0,Exp Techniqs in Cellular Biol,"Good, Elizabeth A",3.8640909090909092
Fall,2011,25,FIN,221,1,10,0,1,6,1,1,4,0,0,1,0,0,0,Corporate Finance,"Kim, Hyun",3.1732
Fall,2017,35,ACCY,302,0,8,5,12,7,3,0,0,0,0,0,0,0,0,Decision Making for Atg,"Finnegan, Thomas",3.4091428571428573
Fall,2017,41,ECE,342,4,13,3,10,2,2,4,2,0,0,1,0,0,0,Electronic Circuits,"Hanumolu, Pavan Kumar",3.3651219512195123
Fall,2014,26,PS,280,1,9,1,2,4,0,1,3,2,0,1,0,1,1,Intro to Intl Relations,"Townsen, Ashly A",3.0
Fall,2015,29,JOUR,360,1,17,6,5,0,0,0,0,0,0,0,0,0,0,The Media and You,"Tate, Alexis M",3.8162068965517237
Spring,2022,292,PSYC,230,113,40,26,27,20,10,7,17,6,1,7,2,14,2,Perception & Sensory Processes,"Lleras, Alejandro",3.289758620689655
Fall,2018,34,MACS,317,0,4,9,8,6,3,4,0,0,0,0,0,0,0,Media History,"Hay, James W",3.264705882352941
Fall,2011,23,ENG,333,3,6,7,4,2,0,0,0,0,0,0,0,1,0,"Creativity, Innovation, Vision","Litchfield, J B",3.5221739130434777
Summer,2012,24,HIST,100,2,14,6,0,1,1,0,0,0,0,0,0,0,0,Global History,"Smith, Rachel D",3.8204166666666666
Spring,2020,24,ENGL,109,4,6,4,2,3,0,1,0,1,0,1,0,2,0,Intro to Fiction-ACP,"Merrill, Andrew",3.1391666666666667
Summer,2021,44,MUS,130,15,9,4,3,0,5,2,0,1,0,1,0,3,1,Music Then and Now,"Magee, Gayle S",3.2872093023255813
Summer,2012,23,ECON,202,1,3,1,3,3,1,2,5,1,0,1,0,1,1,Economic Statistics I,"Kim, Dongwoo",2.666363636363637
Spring,2021,48,LAW,606,0,4,3,18,14,4,5,0,0,0,0,0,0,0,Constitutional Law I,"Mazzone, Jason",3.151666666666667
Fall,2016,27,ACCY,201,3,5,3,0,4,2,2,3,1,0,2,0,2,0,Accounting and Accountancy I,"Gebhardt, Abbey L",2.7659259259259255
Fall,2019,593,FSHN,120,20,384,0,0,124,0,0,45,0,0,12,0,8,0,Contemporary Nutrition,"Burkhalter, Toni M",3.524451939291737
Fall,2011,49,PSYC,238,2,7,9,9,13,6,0,2,1,0,0,0,0,0,Abnormal Psych,"Flores, Luis E",3.258979591836735
